Date,Time,Open,High,Low,Close,Volume
20071104,000000,1820,1821,1814,1814,974618
20071105,000000,1824,1825,1819,1819,979951
20071107,000000,1828,1829,1824,1824,1093049
20071110,000000,1832,1833,1828,1828,1019946
20071111,000000,1838,1839,1834,1834,1076447
20071112,000000,1840,1841,1837,1837,1004704
20071113,000000,1845,1846,1841,1841,995146
20071114,000000,1848,1849,1844,1844,867151
20071117,000000,1850,1851,1847,1847,864413
20071118,000000,1855,1856,1851,1851,985591
20071119,000000,1860,1861,1855,1855,942049
20071120,000000,1862,1863,1858,1858,916053
20071121,000000,1863,1864,1860,1860,950894
20071124,000000,1870,1871,1865,1865,967091
20071125,000000,1880,1881,1873,1873,1063221
20071126,000000,1885,1886,1881,1881,1265277
20071127,000000,1888,1889,1885,1885,1017679
20071128,000000,1890,1891,1888,1888,1039762
20071201,000000,1892,1893,1890,1890,1215762
20071202,000000,1895,1896,1853,1890,1187632
20071203,000000,1892,1892,1853,1886,1009094
20071204,000000,1895,1895,1849,1885,1262919
20071205,000000,1885,1885,1848,1882,1100321
20071208,000000,1882,1882,1845,1876,1158498
20071209,000000,1876,1876,1839,1870,1235033
20071210,000000,1870,1870,1833,1862,1367429
20080120,000000,1700,1701,1700,1700,1551821
20080121,000000,1700,1701,1700,1700,836064
20080122,000000,1717,1718,1717,1717,2619887
20080123,000000,1737,1751,1737,1746,13801598
20080126,000000,1780,1780,1751,1767,4675643
20080127,000000,1777,1800,1777,1777,2041812
20080128,000000,1787,1788,1783,1783,1114685
20080129,000000,1793,1794,1790,1790,1391968
20080130,000000,1794,1795,1793,1793,1490917
20080202,000000,1796,1797,1795,1795,1499195
20080203,000000,1799,1800,1798,1798,1435053
20080204,000000,1802,1803,1801,1801,1292693
20080205,000000,1804,1805,1803,1803,1285404
20080212,000000,1803,1804,1803,1803,1235767
20080213,000000,1803,1804,1803,1803,1860825
20080216,000000,1803,1804,1767,1801,4076783
20080217,000000,1806,1806,1765,1798,883266
20080218,000000,1798,1798,1763,1794,936962
20080219,000000,1759,1774,1759,1774,1116551
20080220,000000,1739,1772,1739,1772,89157
20080227,000000,1737,1771,1737,1771,42168
20080301,000000,1736,1769,1736,1769,87734
20080302,000000,1734,1769,1734,1769,27577
20080303,000000,1734,1768,1734,1768,51117
20080304,000000,1733,1768,1733,1768,16386
20080305,000000,1733,1767,1733,1767,65656
20080309,000000,1732,1766,1732,1766,65128
20080310,000000,1731,1763,1731,1763,150186
20080311,000000,1728,1761,1728,1761,98260
20080312,000000,1726,1759,1726,1759,101723
20080315,000000,1724,1724,1724,1724,34914
20080316,000000,1690,1690,1690,1690,12272
20080317,000000,1657,1657,1657,1657,50072
20080318,000000,1624,1624,1624,1624,9223
20080324,000000,1592,1592,1592,1592,2802
20080326,000000,1561,1592,1561,1592,2553
20080329,000000,1561,1561,1561,1561,15000
20080330,000000,1530,1530,1530,1530,23696
20080402,000000,1500,1500,1500,1500,149385
20080405,000000,1470,1470,1470,1470,1532655
20080406,000000,1441,1460,1441,1460,678569
20080407,000000,1431,1431,1431,1431,2467863
20080408,000000,1431,1432,1403,1416,1843443
20080409,000000,1430,1431,1430,1430,2687384
20080412,000000,1451,1452,1451,1451,4905627
20080413,000000,1475,1476,1475,1475,2882633
20080414,000000,1500,1501,1500,1500,3003910
20080415,000000,1520,1521,1520,1520,2439957
20080416,000000,1535,1536,1528,1528,1117230
20080419,000000,1543,1544,1535,1535,922957
20080420,000000,1548,1549,1546,1546,1673142
20080421,000000,1561,1562,1558,1558,1630075
20080422,000000,1570,1571,1565,1565,1159738
20080423,000000,1580,1581,1574,1574,1128941
20080614,000000,1450,1450,1153,1207,7499898
20080615,000000,1173,1199,1171,1199,474513
20080616,000000,1164,1196,1164,1196,174046
